instance;constructor;strategy;time;value;best_time
1;0;0;1800.005087;28148;0.5826786
1;1;0;1800.047146;29369;1.3365268
1;2;0;1800.036033;29204;1.1406587
2;0;0;1800.101087;20873;6.8381463
2;1;0;1800.138193;22648;15.660453
2;2;0;1800.164215;21445;45.7427741
3;0;0;1800.516969;23178;805.1374598
3;1;0;1800.512823;23808;139.9222343
3;2;0;1800.138064;23823;165.3854861
4;0;0;1800.277098;68131;402.3540674
4;1;0;1800.290672;72355;921.0592881
4;2;0;1800.103292;71558;819.3323661
5;0;0;1800.817288;70442;451.9611121
5;1;0;1800.010162;71551;831.96428
5;2;0;1800.906546;71616;941.8454073
6;0;0;1800.835391;62068;1154.92273
6;1;0;1801.314976;66918;970.4212436
6;2;0;1801.306851;67923;1531.316532
7;0;0;1801.083426;85174;1517.040227
7;1;0;1804.077285;89971;1778.69051
7;2;0;1801.772851;96035;1801.772821
8;0;0;1802.656416;76400;1802.656382
8;1;0;1800.248808;79879;1794.027606
8;2;0;1801.248316;91194;1801.248294
